Sr.No ,Questions ,Answers ,Department ,Sub-Department ,Remarks ,Status
1764,Is theft covered?,"Yes, if from a locked and secured site.",Insurance,Project Engineering Insurance,,
1765,What about loss due to design defects?,Basic design defects are excluded. Cover can be extended with LEG clauses.,Insurance,Project Engineering Insurance,,
1766,What are LEG clauses?,London Engineering Group clauses that define extent of coverage for design defects.,Insurance,Project Engineering Insurance,,
1767,What is the sum insured in a CAR/EAR policy?,"Project value including materials, labor, plant, and other costs.",Insurance,Project Engineering Insurance,,
1768,Should taxes be included in the sum insured?,"Yes, total contract value including taxes should be insured.",Insurance,Project Engineering Insurance,,
1769,What is the premium rate?,"Depends on project type, size, duration, claims history, and coverage.",Insurance,Project Engineering Insurance,,
1770,What is the deductible/excess?,A minimum amount borne by the insured for each claim.,Insurance,Project Engineering Insurance,,
1771,Can a single policy cover multiple locations?,"No, project insurance is site-specific.",Insurance,Project Engineering Insurance,,
1772,Are off-site storages covered?,Only if declared and agreed upon in the policy.,Insurance,Project Engineering Insurance,,
1773,Are tools and contractor’s plant covered?,"Yes, if specifically declared.",Insurance,Project Engineering Insurance,,
1774,Are subcontractors covered?,"Yes, if named in the policy or agreed by insurer.",Insurance,Project Engineering Insurance,,
1775,What is testing period in EAR?,Time allotted to test machinery after installation.,Insurance,Project Engineering Insurance,,
1776,Is testing covered in EAR policy?,"Yes, standard testing is covered; hot testing requires additional premium.",Insurance,Project Engineering Insurance,,
1777,What is hot testing?,Testing under working conditions with heat or pressure.,Insurance,Project Engineering Insurance,,
1778,What is soft cost?,"Indirect financial losses due to delay like legal fees, financing costs, etc.",Insurance,Project Engineering Insurance,,
1779,What is a certificate of insurance?,A document proving that insurance is active for the project.,Insurance,Project Engineering Insurance,,
1780,Is policy cancelable mid-way?,"Yes, with mutual consent and subject to conditions.",Insurance,Project Engineering Insurance,,
1781,Can the policyholder be changed?,Usually not unless approved by insurer.,Insurance,Project Engineering Insurance,,
1782,What is the claim process?,Notify insurer → Loss survey → Submit documents → Claim assessment → Settlement.,Insurance,Project Engineering Insurance,,
1783,How soon should claim be reported?,"Immediately, ideally within 24-48 hours.",Insurance,Project Engineering Insurance,,
1784,What documents are needed for a claim?,"Claim form, site report, photos, invoices, contractor's statement, etc.",Insurance,Project Engineering Insurance,,
1785,Who conducts the loss survey?,A certified independent loss adjuster appointed by insurer.,Insurance,Project Engineering Insurance,,
1786,What is the claim settlement time?,"Depends on nature, but typically within 30 days of documentation.",Insurance,Project Engineering Insurance,,
1787,Is loss of contractor’s own tools covered?,Only if tools are declared and covered.,Insurance,Project Engineering Insurance,,
1788,Is pollution liability covered?,Generally excluded unless separately added.,Insurance,Project Engineering Insurance,,
1789,Can policy be transferred if project ownership changes?,Only with insurer's consent.,Insurance,Project Engineering Insurance,,
1790,Are existing structures covered?,Only if declared and value included.,Insurance,Project Engineering Insurance,,
1791,What are common exclusions?,"Wear & tear, design defects, war, willful negligence, penalties, consequential loss.",Insurance,Project Engineering Insurance,,
1792,Can policy be issued before project starts?,"Yes, it should be issued ideally before unloading first material on site.",Insurance,Project Engineering Insurance,,
1793,What is the retroactive date?,Not applicable for project insurance; policy starts from project initiation.,Insurance,Project Engineering Insurance,,
1794,Are worker injuries covered?,"Not under CAR/EAR, but through WC/ESIC insurance.",Insurance,Project Engineering Insurance,,
1795,Can insurance be purchased for government projects?,"Yes, and often required as part of contract.",Insurance,Project Engineering Insurance,,
1796,Is there a minimum project value required?,"Not always, but projects below ₹50 lakh may get simple SME covers.",Insurance,Project Engineering Insurance,,
1797,Can international projects be covered?,Only if permitted and insurer has overseas capability.,Insurance,Project Engineering Insurance,,
1798,Can project insurance be bought online?,Usually not fully; needs underwriting. Quotes can be initiated online.,Insurance,Project Engineering Insurance,,
1799,Can one policy cover both CAR & EAR?,"No, but for hybrid projects, special coverage terms may be crafted.",Insurance,Project Engineering Insurance,,
1800,What is annual engineering policy?,Covers multiple small projects under one annual cover for a contractor.,Insurance,Project Engineering Insurance,,
1801,Can premiums be paid in installments?,Only if agreed upon; typically one-time payment.,Insurance,Project Engineering Insurance,,
1802,What is total project value (TPV)?,"The complete cost including materials, labor, and contingency.",Insurance,Project Engineering Insurance,,
1803,Can soft landscaping be covered?,"Yes, if included in project value.",Insurance,Project Engineering Insurance,,
1804,Can cover be taken mid-way through a project?,"Yes, but subject to risk inspection and insurer approval.",Insurance,Project Engineering Insurance,,
1805,Is terrorism covered?,Optional extension; not covered by default.,Insurance,Project Engineering Insurance,,
1806,Can policy be backdated?,No. Insurance is not valid for events that have already occurred.,Insurance,Project Engineering Insurance,,
1807,What if project is delayed?,You can request for policy extension.,Insurance,Project Engineering Insurance,,
1808,Is third-party injury covered?,"Yes, under Section II liability coverage.",Insurance,Project Engineering Insurance,,
1809,Is damage to adjacent property covered?,Only if liability section is included and cause is insured peril.,Insurance,Project Engineering Insurance,,
1810,Can premium be refunded if policy is canceled?,"Partially, based on short period rates.",Insurance,Project Engineering Insurance,,
1811,Is maintenance period covered?,"Yes, optional extension for 3 to 12 months after project handover.",Insurance,Project Engineering Insurance,,
1812,What is extended maintenance cover?,Covers latent defects discovered during maintenance period.,Insurance,Project Engineering Insurance,,
1813,Can policies be jointly named?,"Yes, common in joint ventures or consortia.",Insurance,Project Engineering Insurance,,
1814,Are mobile equipment like cranes covered?,"Yes, if declared and used on project site.",Insurance,Project Engineering Insurance,,
1815,What happens if sum insured is less than project value?,It may lead to underinsurance and partial claim settlement.,Insurance,Project Engineering Insurance,,
1816,Is insurance required for each subcontractor separately?,"No, if they're covered under master policy.",Insurance,Project Engineering Insurance,,
1817,Can multiple policies be taken for one project?,Not advisable; can create complications during claims.,Insurance,Project Engineering Insurance,,
1818,What is waiver of subrogation?,Agreement where insurer waives right to recover from subcontractors.,Insurance,Project Engineering Insurance,,
1819,What are special conditions?,Clauses specific to the nature of project or risk profile.,Insurance,Project Engineering Insurance,,
1820,What is provisional sum insured?,An estimated project cost at policy start; to be adjusted later.,Insurance,Project Engineering Insurance,,
1821,What if there is project cost escalation?,Policy should be endorsed with increased value.,Insurance,Project Engineering Insurance,,
1822,Can we insure a project under construction already?,"Possible, but requires risk inspection and insurer approval.",Insurance,Project Engineering Insurance,,
1823,Is fire department approval required for insurance?,"Not mandatory, but may affect underwriting.",Insurance,Project Engineering Insurance,,
1824,Can inland transit be covered under CAR/EAR?,"Yes, as an optional extension for material movement.",Insurance,Project Engineering Insurance,,
1825,What is off-site fabrication coverage?,Covers materials being fabricated offsite for the project.,Insurance,Project Engineering Insurance,,
1826,Can penalties or liquidated damages be claimed?,"No, such contractual obligations are excluded.",Insurance,Project Engineering Insurance,,
1827,Is loss due to labor strike covered?,Usually excluded unless specifically included.,Insurance,Project Engineering Insurance,,
1828,Can loss due to faulty workmanship be covered?,Basic policy excludes it. Can be partially covered with add-ons.,Insurance,Project Engineering Insurance,,
1829,Can multiple locations be insured under a single engineering floater?,"Yes, under annual contractor’s policy with predefined terms.",Insurance,Project Engineering Insurance,,
1830,What is an investment insurance plan?,It’s a life insurance policy that also helps build wealth through savings or market-linked returns.,Insurance,Investment Plans Insurance,,
1831,What are the main types of investment plans?,"ULIPs, Endowment Plans, Money-Back Plans, Guaranteed Return Plans, Child Plans.",Insurance,Investment Plans Insurance,,
1832,What is a ULIP?,ULIP (Unit Linked Insurance Plan) offers life cover + investment in equity/debt funds.,Insurance,Investment Plans Insurance,,
1833,What is an endowment plan?,"A traditional plan that provides a lump sum on maturity or death, with low risk and guaranteed returns.",Insurance,Investment Plans Insurance,,
1834,What is a money-back plan?,"It gives periodic payouts during the policy term and a lump sum at the end, along with insurance cover.",Insurance,Investment Plans Insurance,,
1835,What is a guaranteed return plan?,Offers fixed returns along with life cover—ideal for risk-averse customers.,Insurance,Investment Plans Insurance,,
1836,What is the minimum entry age?,"Usually starts from 18 years, some plans allow from age 0 (child plans).",Insurance,Investment Plans Insurance,,
1837,What is the maximum entry age?,"Usually between 55 to 65 years, depending on the plan.",Insurance,Investment Plans Insurance,,
1838,How does ULIP work?,Premium is split between insurance and fund investment. Returns depend on fund performance.,Insurance,Investment Plans Insurance,,
1839,Are ULIPs risky?,"ULIPs carry market risk; risk level depends on fund chosen (equity, debt, balanced).",Insurance,Investment Plans Insurance,,
1840,What is the lock-in period in ULIP?,5 years. No withdrawal allowed before that.,Insurance,Investment Plans Insurance,,
1841,Can the customer switch funds in ULIP?,"Yes, switching between funds is allowed (often limited free switches per year).",Insurance,Investment Plans Insurance,,
1842,Are ULIP returns taxable?,Maturity is tax-free under Section 10(10D) if annual premium < ₹2.5L (post 2021 rules).,Insurance,Investment Plans Insurance,,
1843,What is Section 80C benefit?,Premiums paid are eligible for tax deduction up to ₹1.5L annually.,Insurance,Investment Plans Insurance,,
1844,What is maturity benefit?,The amount paid at policy end if insured survives the term.,Insurance,Investment Plans Insurance,,
1845,What is death benefit?,The amount paid to nominee on policyholder's death.,Insurance,Investment Plans Insurance,,
1846,Can death benefit be more than sum assured?,"Yes, in ULIPs it could be fund value or sum assured—whichever is higher.",Insurance,Investment Plans Insurance,,
1847,What is fund value?,The current value of investment units held in a ULIP.,Insurance,Investment Plans Insurance,,
1848,What are NAVs in ULIPs?,"Net Asset Value, updated daily, reflects the per-unit value of the investment.",Insurance,Investment Plans Insurance,,
1849,Can I increase my premium later?,"Yes, through top-ups in ULIPs (conditions apply).",Insurance,Investment Plans Insurance,,
1850,What is a top-up premium?,Additional premium paid to increase fund value in ULIPs.,Insurance,Investment Plans Insurance,,
1851,Are there charges in ULIPs?,"Yes – fund management, policy admin, mortality, premium allocation charges, etc.",Insurance,Investment Plans Insurance,,
1852,Can I withdraw from a ULIP before maturity?,Partial withdrawals allowed after 5 years.,Insurance,Investment Plans Insurance,,
1853,Are loans available on investment plans?,"Yes, on traditional plans (endowment), not on ULIPs.",Insurance,Investment Plans Insurance,,
1854,What happens if I stop paying premiums?,"Policy may lapse or convert to paid-up, depending on terms.",Insurance,Investment Plans Insurance,,
1855,Can a lapsed policy be revived?,"Yes, usually within 2–5 years by paying due premiums + interest.",Insurance,Investment Plans Insurance,,
1856,What is surrender value?,Amount received if policy is terminated before maturity.,Insurance,Investment Plans Insurance,,
1857,Is there a surrender penalty?,"Yes, especially in early years. ULIPs deduct charges if surrendered before 5 years.",Insurance,Investment Plans Insurance,,
1858,What is a paid-up policy?,"When future premiums stop, policy continues with reduced benefits.",Insurance,Investment Plans Insurance,,
1859,What is maturity age?,The age at which policy ends and benefit is paid—usually 65 or 70.,Insurance,Investment Plans Insurance,,
1860,What is policy term?,Duration of the plan—usually 10 to 30 years.,Insurance,Investment Plans Insurance,,
1861,What is premium payment term?,Number of years premiums need to be paid.,Insurance,Investment Plans Insurance,,
1862,What are single premium plans?,One-time payment plans with life cover + returns.,Insurance,Investment Plans Insurance,,
1863,What is regular premium plan?,Periodic payment (monthly/quarterly/annually) throughout the term.,Insurance,Investment Plans Insurance,,
1864,What is limited pay option?,"Pay premiums for a few years, but coverage continues longer.",Insurance,Investment Plans Insurance,,
1865,What are riders in investment plans?,"Add-on covers like critical illness, accidental death, waiver of premium, etc.",Insurance,Investment Plans Insurance,,
1866,Are riders optional?,"Yes, they are optional and chargeable.",Insurance,Investment Plans Insurance,,
1867,Can riders be added later?,Usually only at inception or during policy anniversary.,Insurance,Investment Plans Insurance,,
1868,What is guaranteed maturity benefit?,Assured amount paid on maturity (mostly in traditional plans).,Insurance,Investment Plans Insurance,,
1869,What is loyalty addition?,Bonus units added to ULIP funds after staying invested for few years.,Insurance,Investment Plans Insurance,,
1870,What is reversionary bonus?,Bonus declared annually in traditional policies (if applicable).,Insurance,Investment Plans Insurance,,
1871,What is terminal bonus?,One-time bonus paid at maturity or death.,Insurance,Investment Plans Insurance,,
1872,What is a revival period?,Time within which a lapsed policy can be revived (usually up to 5 years).,Insurance,Investment Plans Insurance,,
1873,What is grace period?,Extra time to pay premium after due date (15–30 days).,Insurance,Investment Plans Insurance,,
1874,What is policy reinstatement?,Reactivating a lapsed policy with insurer approval.,Insurance,Investment Plans Insurance,,
1875,Can nominee be changed?,"Yes, by submitting a written request with proof.",Insurance,Investment Plans Insurance,,
1876,What if nominee dies?,Policyholder can appoint multiple or contingent nominees.,Insurance,Investment Plans Insurance,,
1877,What is TPA in insurance?,Not applicable in investment plans; TPA is for health insurance.,Insurance,Investment Plans Insurance,,
1878,Is investment plan better than FD?,"For long term, it gives insurance + potential higher returns, but with risk.",Insurance,Investment Plans Insurance,,
1879,How to track ULIP performance?,Through NAV reports available on insurer's website or app.,Insurance,Investment Plans Insurance,,
1880,What documents are needed to buy a plan?,"PAN, Aadhaar, income proof, photo, bank details.",Insurance,Investment Plans Insurance,,
1881,Is medical required?,"Depends on age, sum assured, and insurer underwriting.",Insurance,Investment Plans Insurance,,
1882,What is proposal form?,Application form filled by customer to apply for insurance.,Insurance,Investment Plans Insurance,,
1883,What is KYC in insurance?,Know Your Customer – mandatory identity and address verification.,Insurance,Investment Plans Insurance,,
1884,Can minors be insured?,"Yes, under child plans. Policyholder will be parent or guardian.",Insurance,Investment Plans Insurance,,
1885,What is the best plan for child’s education?,Child ULIP or guaranteed return child plans with payout at milestone ages.,Insurance,Investment Plans Insurance,,
1886,Can a person have multiple investment plans?,"Yes, there is no limit.",Insurance,Investment Plans Insurance,,
1887,What is NRI eligibility?,Most plans are available to NRIs with additional documentation.,Insurance,Investment Plans Insurance,,
1888,What happens on policyholder's death?,Death benefit paid to nominee; ULIPs may also add fund value.,Insurance,Investment Plans Insurance,,
1889,What if customer needs liquidity before 5 years?,Suggest short-term savings products; ULIPs don’t allow withdrawal before 5 years.,Insurance,Investment Plans Insurance,,
1890,Can customer customize fund allocation in ULIP?,"Yes, many ULIPs offer self-managed or auto-managed options.",Insurance,Investment Plans Insurance,,
1891,What is risk profile matching?,"Suggesting plan based on customer's risk appetite (low, moderate, high).",Insurance,Investment Plans Insurance,,
1892,What’s the difference between term plan and ULIP?,Term plan is pure insurance. ULIP is insurance + investment.,Insurance,Investment Plans Insurance,,
1893,What is sum assured?,Fixed amount payable to nominee in case of death.,Insurance,Investment Plans Insurance,,
1894,Is ULIP better than mutual fund?,"ULIP gives life cover + disciplined investing, but mutual fund may offer higher liquidity.",Insurance,Investment Plans Insurance,,
1895,What is IRDAI?,Insurance Regulatory and Development Authority of India – regulates insurers.,Insurance,Investment Plans Insurance,,
1896,Can customer cancel after buying?,"Yes, within 15 days (free-look period).",Insurance,Investment Plans Insurance,,
1897,What is free-look period?,Time to cancel the policy after receiving documents.,Insurance,Investment Plans Insurance,,
1898,Is investment plan suitable for retirement?,"Yes, especially pension ULIPs or guaranteed income plans.",Insurance,Investment Plans Insurance,,
1899,What is vesting age?,Age at which pension plan starts paying annuity.,Insurance,Investment Plans Insurance,,
1900,Is joint life option available?,Some plans offer joint cover (especially pension/annuity).,Insurance,Investment Plans Insurance,,
1901,What happens after maturity?,Maturity benefit is paid and policy terminates.,Insurance,Investment Plans Insurance,,
1902,How can customer receive payout?,"Through bank transfer, cheque, or ECS.",Insurance,Investment Plans Insurance,,
1903,What is waiver of premium?,A rider that keeps policy active even if premium-payer dies or becomes disabled.,Insurance,Investment Plans Insurance,,
1904,What happens if policyholder survives full term?,Maturity amount is paid as per plan terms.,Insurance,Investment Plans Insurance,,
1905,What is policy illustration?,A projected benefit chart provided at time of sale.,Insurance,Investment Plans Insurance,,
1906,Can policy be bought online?,"Yes, many plans are available for online purchase.",Insurance,Investment Plans Insurance,,
1907,Can ULIP be switched to debt during market fall?,"Yes, that’s one key benefit of ULIP.",Insurance,Investment Plans Insurance,,
1908,What is switch charge in ULIP?,Some insurers charge after a limited number of free switches.,Insurance,Investment Plans Insurance,,
1909,Is there any maturity bonus?,Some plans offer loyalty or maturity bonuses if held till end.,Insurance,Investment Plans Insurance,,
1910,Can customer increase sum assured later?,"Usually only at policy inception, not afterward.",Insurance,Investment Plans Insurance,,
1911,What is Shop Insurance?,"Shop Insurance provides financial protection for shop owners against risks like fire, burglary, natural calamities, and liability.",Insurance,Shop and Home Insurance,,
1912,What is Home Insurance?,"Home Insurance offers coverage against damage to your home and its contents due to events like fire, theft, natural disasters, and more.",Insurance,Shop and Home Insurance,,
1913,Why should I buy Shop Insurance?,"It protects your shop's structure, stock, and assets from unforeseen risks that can cause financial loss.",Insurance,Shop and Home Insurance,,
1914,Why is Home Insurance important?,"It ensures your home and valuables are financially protected against accidents, disasters, and theft.",Insurance,Shop and Home Insurance,,
1915,What does Shop Insurance typically cover?,"Shop insurance typically covers property damage, theft, and potential liabilities associated with running a retail business. It protects against risks like fire, natural disasters, burglary, and accidental damage to both the building and its contents. Additionally, many shop insurance policies include liability coverage for injuries or damages to third parties, such as customers or employees.",Insurance,Shop and Home Insurance,,
1916,Does Shop Insurance cover loss of income?,"While a standard shop insurance policy primarily covers property damage and legal liabilities, it typically does not directly cover loss of income. However, some shop insurance policies may offer add-on coverage like Business Interruption Insurance which can help compensate for lost income if the shop is forced to close due to a covered event.",Insurance,Shop and Home Insurance,,
1917,Is damage due to fire covered under Shop Insurance?,"Yes, damage due to fire is generally covered under shop insurance policies. These policies provide coverage for property damage, including that caused by fire, ensuring financial protection for shop owners.",Insurance,Shop and Home Insurance,,
1918,Does Shop and Home Insurance cover natural disasters like floods or earthquakes?,"Yes, both Shop and Home Insurance can cover natural disasters like floods and earthquakes, but this coverage is usually optional and offered as an add-on. Standard policies typically cover fire, lightning, and storm damage, but for protection against floods, earthquakes, and other major natural calamities, you need to opt for specific add-on covers like flood cover or earthquake cover. It’s important to check your policy document or speak with your insurer to ensure these risks are included in your coverage.",Insurance,Shop and Home Insurance,,
1919,Are employees covered under Shop Insurance?,"Yes, employee coverage can be part of shop insurance. While shop insurance primarily protects the shop's property and contents, some policies also include coverage for employees, particularly in the areas of accidental injury, death, and legal liability. Additionally, fidelity guarantee coverage can protect against financial loss due to employee dishonesty or fraud.",Insurance,Shop and Home Insurance,,
1920,Can I insure my shop’s signboard and branding?,"Yes, optional covers can be taken for signage and hoardings.",Insurance,Shop and Home Insurance,,
1921,Is theft or burglary covered in Shop Insurance?,"Yes, Shop Insurance typically covers both theft and burglary, providing financial protection for losses resulting from these events. Shop insurance policies often include provisions for burglary and theft, ensuring that shop owners can recover from financial losses if their inventory, equipment, or other assets are stolen or damaged due to forceful entry.",Insurance,Shop and Home Insurance,,
1922,Does Shop Insurance cover electronic equipment?,"Yes, Shop Insurance policies typically include coverage for electronic equipment, often with add-ons or specific sections for such items. This coverage can protect against various risks, including fire, theft, accidental damage, and breakdowns. However, it's important to review the policy details to understand the specific exclusions and limits of coverage.",Insurance,Shop and Home Insurance,,
1923,What if a customer gets injured inside my shop?,"If a customer is injured in your shop, your public liability insurance can help cover legal fees and compensation if you are found negligent. You should report the incident to your insurer as soon as possible, even if it seems minor, and follow their guidance.",Insurance,Shop and Home Insurance,,
1924,What is Public Liability Insurance?,"Public liability insurance, also known as third-party liability insurance, protects businesses from legal claims and financial losses arising from accidental injuries or property damage caused to members of the public or third parties. It covers the costs associated with such incidents, including damages, legal fees, and medical expenses.",Insurance,Shop and Home Insurance,,
1925,Can I get coverage for cash kept in the shop?,"Yes, you can get coverage for cash kept in your shop through a shopkeeper's insurance policy or a money insurance policy. This coverage protects against losses due to theft, burglary, robbery, or other covered events.",Insurance,Shop and Home Insurance,,
1926,What does Home Insurance cover?,"Home insurance covers damage or loss to your property and belongings due to various events, including natural disasters, theft, and vandalism. It provides financial protection for repairs or replacements of the home structure and its contents. Some policies also include liability coverage for accidents that may happen on your property.",Insurance,Shop and Home Insurance,,
1927,Can I insure just the structure of my home?,"Yes, you can choose a structure-only policy.",Insurance,Shop and Home Insurance,,
1928,Can I insure only the contents of my home?,"When you opt for a home contents-only property insurance policy, you get covered for losses to your belongings like furniture and appliances etc.",Insurance,Shop and Home Insurance,,
1929,Does Home Insurance cover jewelry and valuables?,"If taking a home insurance policy, you can choose to go for a contents cover that includes valuables and jewellery protection.",Insurance,Shop and Home Insurance,,
1930,Is damage due to electrical short-circuits covered?,"In general, damage from a short circuit itself is often not covered under a standard fire insurance policy. However, if the short circuit leads to a fire, the subsequent fire damage to contents and the structure may be covered.",Insurance,Shop and Home Insurance,,
1931,Will my insurance cover damage from water leakage?,"Yes, home insurance typically covers water damage from sudden and accidental leaks, like a burst pipe or overflowing toilet. However, it usually doesn't cover damage from gradual leaks, poor maintenance, or wear and tear. To ensure coverage, it's important to address plumbing problems promptly and maintain your home regularly.",Insurance,Shop and Home Insurance,,
1932,"Are electronics like TV, AC, fridge covered?","A standard home insurance plan will offer insurance coverage for fridge and other electronic appliances, as long as they are outlined. On the other hand, if you want, you can exclusively choose add-ons to cover all the electronic items in the house.",Insurance,Shop and Home Insurance,,
1933,Does Home Insurance cover earthquake damage?,"Standard homeowners insurance policies generally do not cover earthquake damage. To protect your home from earthquake damage, you'll need a separate earthquake insurance policy or an endorsement (rider) to your existing policy.",Insurance,Shop and Home Insurance,,
1934,Is fire from a cooking accident covered?,"This clause provides coverage for damages that are caused unintentionally, such as when a fire breaks out due to faulty wiring or a cooking accident. However, intentional damage or damage caused by negligence may not be covered.",Insurance,Shop and Home Insurance,,
1935,Is home insurance mandatory?,"No, house insurance is not mandatory in India. While the Reserve Bank of India (RBI) does not require property insurance for home loans, most banks and lenders strongly recommend or even insist on it. They do this to protect their investment and ensure the property remains valuable as collateral.",Insurance,Shop and Home Insurance,,
1936,Who can buy Shop Insurance?,Any individual or business operating a commercial shop or establishment.,Insurance,Shop and Home Insurance,,
1937,Who can buy Home Insurance?,"Homeowners as well as tenants renting a property to stay can buy a home insurance policy. Some policies provide owners with coverage for the home as well as possessions, whereas the policies for tenants offer coverage for their belongings.",Insurance,Shop and Home Insurance,,
1938,Can tenants buy Home Insurance?,"Yes, tenants can absolutely buy home insurance, but it's important to understand that it's not to cover the building structure (which is the landlord's responsibility), but rather to protect their personal belongings within the rented property. This is often referred to as renter's insurance or tenant insurance.",Insurance,Shop and Home Insurance,,
1939,Can landlords insure a rented property under Shop and Home Insurrance?,"Yes, landlords can insure a rented property under Shop or Home Insurance. In such cases, the insurance typically covers the structure of the property, including walls, roof, flooring, and any fixtures provided by the landlord. For Shop Insurance, landlords can insure the commercial space they rent out, while Home Insurance covers residential properties. However, the contents belonging to the tenant (like furniture, stock, or electronics) are not covered under the landlord’s policy—tenants must insure their own belongings separately. It's important for landlords to inform the insurer that the property is rented to ensure proper coverage.",Insurance,Shop and Home Insurance,,
1940,Is there a minimum value to insure a shop or home?,"No, there isn't a fixed minimum value to insure a shop or home. Instead, insurance companies generally require a minimum coverage based on the replacement cost of the property. This replacement cost, not the current market value, is used as the basis for the insurance policy.",Insurance,Shop and Home Insurance,,
1941,Do I need a valuation for the property under Shop and Home Insurance?,"Yes, a property valuation is important when buying Shop or Home Insurance, as it helps determine the correct sum insured—the amount your insurer will pay in case of a total loss. For Home Insurance, this includes the reconstruction cost of the building and the value of household contents. For Shop Insurance, it includes the value of the structure (if owned), stock, equipment, and fixtures. An accurate valuation ensures you are neither underinsured (receiving less than the actual loss) nor overinsured (paying higher premiums unnecessarily). While a formal valuation isn’t always mandatory, providing realistic and well-estimated values is strongly recommended.",Insurance,Shop and Home Insurance,,
1942,What are common add-ons in Shop Insurance?,"Common add-ons in Shop Insurance typically enhance the basic coverage and protect against specific risks like terrorism, loss of rent, or damage to electronic equipment. Some popular add-ons include cover for earthquake damage, terrorism, loss of rent due to business interruption, and expenses incurred on consulting engineers, architects, and surveyors beyond a certain threshold.",Insurance,Shop and Home Insurance,,
1943,Can I insure my paying guest (PG) property?,"Yes, you can likely insure a paying guest (PG) property under a home insurance policy. However, standard home insurance policies may have limitations, so it's crucial to check the specific terms and conditions of your policy or consider a landlord insurance policy.",Insurance,Shop and Home Insurance,,
1944,Do I get a certificate of insurance after buying a policy?,"Yes, you typically receive a certificate of insurance after purchasing an insurance policy. This certificate serves as proof of coverage and contains important details about your policy. It's a legally valid document and may be needed in the event of a claim.",Insurance,Shop and Home Insurance,,
1945,What if my insured home is unoccupied for a long period?,You must inform the insurer; some risks may not be covered during long vacancies.,Insurance,Shop and Home Insurance,,
1946,Can I transfer my shop insurance policy if I shift location?,"Yes, you can typically transfer or update your shop insurance policy if you shift your location. You'll need to notify your insurance company about the change and they will guide you on the necessary steps, which may involve updating the policy address and potentially adjusting the premium based on the new location's risk factors.",Insurance,Shop and Home Insurance,,
1947,Is pest or termite damage covered?,"No, such gradual damage is generally excluded.",Insurance,Shop and Home Insurance,,
1948,Is glass breakage in my shop covered?,"Yes, glass breakage in a shop is generally covered under Shop Insurance, specifically under a policy's ""Plate Glass"" coverage. This typically includes accidental breakage of fixed, plain glass and mirrors within the insured premises.",Insurance,Shop and Home Insurance,,
1949,Can I insure my farmhouse under home insurance?,"A buildings and contents home insurance policy will cover the structure of your farmhouse, as well as the furniture and possessions kept in it, protecting them from unexpected events like fire, storm damage, flooding and theft.",Insurance,Shop and Home Insurance,,
1950,Can I buy home insurance for an under-construction house?,"For an under construction flat being built by a builder, you cannot take home insurance. You can buy a home insurance only after possession. However, in most cases, builder does take insurance for a building under construction. If you are building a house yourself, you can take a property under construction insurance.",Insurance,Shop and Home Insurance,,
1951,Is furniture covered in Shop/Home Insurance?,"Yes, Furniture covered under contents coverage.",Insurance,Shop and Home Insurance,,
1952,Do home loans require mandatory home insurance?,"According to the Reserve Bank of India, property insurance is not compulsorily required for a home loan. However, most banks and other financial institutions advise and even insist on property insurance to protect in case the house gets damaged.",Insurance,Shop and Home Insurance,,
1953,Are expensive artworks in my home covered?,"Insurance of Paintings and Artworks. The coverage for paintings, for instance, and other items of art may not be in the home insurance policy. Nonetheless, most of the insurers have supplementary policies that are unique for your valuable collections.",Insurance,Shop and Home Insurance,,
1954,What if I expand my shop later—do I need to update the policy?,"Yes, if you expand your shop's premises or significantly increase the value of its contents, you will likely need to update your shop insurance policy. Failure to do so could leave you underinsured and vulnerable to financial loss if an incident occurs.",Insurance,Shop and Home Insurance,,
1955,Can I include loss of stock due to spoilage?,"The cover shall extend to loss of profits arising out of the spoilage, i.e. interruption of business solely as a result of (i) loss of stock-in-process and (ii) damage to machinery, containers and equipment.",Insurance,Shop and Home Insurance,,
1956,What is the difference between burglary and theft?,"Under shop and home insurance, theft covers the loss of property regardless of how it was taken, while burglary specifically covers property loss resulting from forced or violent entry into a premises with the intent to steal. Burglary insurance also often includes coverage for damage caused to the premises during the forced entry.",Insurance,Shop and Home Insurance,,
1957,Can I cover both my shop and house under one policy?,"Under most insurance plans, Shop and Home Insurance are offered as separate policies because they cover different types of risks. A Home Insurance policy covers your residential property and its contents, while a Shop Insurance policy is designed for commercial spaces, covering business assets like stock, equipment, and third-party liability. However, some insurers may offer bundled or comprehensive plans for customers who own both a home and a shop, allowing you to manage both under one umbrella policy with separate sections. It’s best to check with your insurer if such a combined policy is available and suitable for your needs.",Insurance,Shop and Home Insurance,,
1958,Is insurance mandatory for shop owners?,"Insurance is not legally mandatory for shop owners, but it is highly recommended to protect against losses from fire, theft, natural disasters, and liability. It may be required in cases like business loans or commercial leases.",Insurance,Shop and Home Insurance,,
1959,How do I calculate the sum insured for my home?,"To calculate the sum insured for your home, you need to determine the total value of your home, including the building structure, fixtures, fittings, and the contents within. This involves estimating the current replacement cost of rebuilding the structure and replacing your belongings, as well as considering potential risks and inflation.",Insurance,Shop and Home Insurance,,
1960,Does Choice offer claim assistance?,"Yes, Choice Insurance Broking Firm offers claim assistance as one of its key services. They provide support to their clients throughout the claim process, including advising on notification obligations and disclosing material facts to the insurance company. They also help in compiling necessary documentation and offer technical advice related to claims.",Insurance,Shop and Home Insurance,,
